start	end	pc
0.325509	2.072947	D
0.325509	2.072947	Gb
0.325509	2.072947	A
2.072947	2.607006	D
2.072947	2.607006	Gb
2.072947	2.607006	A
2.607006	3.175895	Db
2.607006	3.175895	D
2.607006	3.175895	Gb
2.607006	3.175895	A
3.175895	3.7563940000000002	D
3.175895	3.7563940000000002	Gb
3.175895	3.7563940000000002	A
3.175895	3.7563940000000002	B
3.7563940000000002	4.348503	D
3.7563940000000002	4.348503	Gb
3.7563940000000002	4.348503	A
4.348503	4.975442	D
4.348503	4.975442	E
4.348503	4.975442	Gb
4.348503	4.975442	Ab
4.348503	4.975442	B
4.975442	5.532721	Db
4.975442	5.532721	E
4.975442	5.532721	A
5.532721	6.7749880000000005	D
5.532721	6.7749880000000005	Gb
5.532721	6.7749880000000005	A
6.7749880000000005	7.390317	D
6.7749880000000005	7.390317	Gb
6.7749880000000005	7.390317	A
7.390317	7.982425999999999	Db
7.390317	7.982425999999999	D
7.390317	7.982425999999999	Gb
7.390317	7.982425999999999	A
7.982425999999999	8.586145	D
7.982425999999999	8.586145	Gb
7.982425999999999	8.586145	A
7.982425999999999	8.586145	B
8.586145	9.155033999999999	D
8.586145	9.155033999999999	Gb
8.586145	9.155033999999999	A
9.155033999999999	10.374081	D
9.155033999999999	10.374081	E
9.155033999999999	10.374081	Gb
9.155033999999999	10.374081	Ab
9.155033999999999	10.374081	B
10.374081	11.581519	Db
10.374081	11.581519	E
10.374081	11.581519	A
11.581519	12.765736	D
11.581519	12.765736	Gb
11.581519	12.765736	B
12.765736	13.949954	Db
12.765736	13.949954	Gb
12.765736	13.949954	B
13.949954	15.134172	C
13.949954	15.134172	D
13.949954	15.134172	Gb
13.949954	15.134172	A
15.134172	16.341609	D
15.134172	16.341609	G
15.134172	16.341609	B
16.341609	17.525827	E
16.341609	17.525827	G
16.341609	17.525827	Bb
17.525827	18.094716000000002	D
17.525827	18.094716000000002	Gb
17.525827	18.094716000000002	A
18.094716000000002	18.710045	Eb
18.094716000000002	18.710045	Gb
18.094716000000002	18.710045	B
18.710045	19.313764000000003	D
18.710045	19.313764000000003	E
18.710045	19.313764000000003	Ab
18.710045	19.313764000000003	B
19.313764000000003	19.917482	Db
19.313764000000003	19.917482	E
19.313764000000003	19.917482	A
19.917482	20.463151	D
19.917482	20.463151	Gb
19.917482	20.463151	A
20.463151	21.00882	Eb
20.463151	21.00882	Gb
20.463151	21.00882	B
21.00882	21.635759	D
21.00882	21.635759	E
21.00882	21.635759	Ab
21.00882	21.635759	B
21.635759	22.204648000000002	Db
21.635759	22.204648000000002	E
21.635759	22.204648000000002	A
22.204648000000002	22.575034	D
22.204648000000002	22.575034	Gb
22.204648000000002	22.575034	A
22.575034	23.14449	A
